LetterM,FreqM,LetterI,FreqI,LetterL,FreqL,LetterE,FreqE
a,0.099373,a,0.227192,a,0.080908,a,0.0812
b,0.030277,b,0.030972,b,0.016182,b,0.0149
d,0.003352,c,0.003166,c,0.036228,c,0.0271
e,0.120134,d,0.045419,d,0.026688,d,0.0432
i,0.093642,e,0.08678,e,0.123415,e,0.1202
j,0.072881,f,0.001286,f,0.008936,f,0.023
k,0.093534,g,0.009796,g,0.010868,g,0.0203
l,0.050173,h,0.027014,h,0.009178,h,0.0592
m,0.06077,i,0.059964,i,0.133317,i,0.0731
n,0.11516,j,0.006828,l,0.025118,j,0.001
o,0.128676,k,0.055215,m,0.049511,k,0.0069
p,0.001622,l,0.025331,n,0.064002,l,0.0398
r,0.060446,m,0.041362,o,0.058447,m,0.0261
s,0.000649,n,0.087869,p,0.029948,n,0.0695
t,0.022491,ng,0.030279,q,0.016302,o,0.0768
u,0.018274,o,0.011973,r,0.052892,p,0.0182
v,0.000108,p,0.031565,s,0.077527,q,0.0011
w,0.028114,r,0.052741,t,0.09069,r,0.0602
y,0.000324,s,0.047002,u,0.075957,s,0.0628
,,t,0.048486,v,0.010264,t,0.091
,,u,0.049377,x,0.003623,u,0.0288
,,v,0.000198,,,v,0.0111
,,w,0.003859,,,w,0.0209
,,y,0.016327,,,x,0.0017
,,,,,,y,0.0211
,,,,,,z,0.0007